Roadside Inspection Violations All Violations,,,,,,,,
,Violation Code,Type,Violation Description,# of Inspections,# of Violations,% of Total Violations,# of OOS Violations,%OOS Percent
1457,393.70CCDTPHC,Vehicle,"Coupling - Full Trailer, pintle hook cracked.",7,7,0%,7,0%
1458,393.70B1ICDPCGL6,Vehicle,"Coupling - Mounting plate or pivot bracket has a crack, or gap caused by corrosion.",7,7,0%,0,0%
1459,393.70B1ICDSCBCW,Vehicle,"Coupling - Slide curl is broken, cracked or repaired by welding. ",7,7,0%,7,0%
1460,393.70B1IICDUCMT20,Vehicle,Coupling - Upper coupler has more than 20% of the total original welds are cracked on either side of the vehicle. ,7,7,0%,6,0%
1461,178.3457D4,HazMat,DOT406/407/412 ring stiffener drain,7,7,0%,0,0%
1462,392.64D,Vehicle,Driver - Riding within a closed body of a CMV without proper exits.,7,7,0%,0,0%
1463,393.201EFR,Vehicle,Frame - Prohibited holes drilled in frame rail flange.,7,7,0%,0,0%
1464,171.2GHMGRMC,HazMat,HM (General Requirements) - Cargo tank (packaging) does not comply with Hazardous Materials Regulations.,7,7,0%,0,0%
1465,177.840OHMHC,HazMat,HM (Highway Carriage) - Failing to test off-truck remote shutoff device on a daily basis.,7,7,0%,0,0%
1466,172.328CHMM,HazMat,"HM (Markings) - Failing to mark a MC 330/331 cargo tank with ""QT/NQT"" as required.",7,7,0%,0,0%
1467,172.322CHMM,HazMat,HM (Markings) - Failing to mark a transport vehicle or freight container that contains a package with a marine pollutant mark when required.,7,7,0%,0,0%
1468,178.34514AHMP,HazMat,HM (Packaging) - DOT 406/407/412 general marking requirements. ,7,7,0%,0,0%
1469,172.514BHMPS,HazMat,HM (Placarding) - Failing to placard bulk package when containing residue of HM as required.,7,7,0%,0,0%
1470,177.300AHMTVMS,HazMat,HM (Transport Vehicle Markings) - Shipper failed to offer proper markings as required.,7,7,0%,0,0%
1471,375.505C,Other,Household Goods motor carrier operating without bill of lading on board CMV,7,7,0%,0,0%
1472,396.9C3I,Vehicle,Inspection - Unauthorized removal of an out-of-service vehicle sticker/decal.,7,7,0%,0,0%
1473,393.118D3,Vehicle,Insufficient or improper arrangement of tiedowns for lumber or building materials,7,7,0%,7,0%
1474,393.70B2ENGAGED,Vehicle,Kingpin not properly engaged,7,7,0%,7,0%
1475,172.406F,HazMat,Label obscured by marking or attachment,7,7,0%,0,0%
1476,393.136DCLB,Vehicle,Large Boulders - Improperly securement of a cubic shaped boulder.,3,7,0%,6,0%
1477,393.17A2LDSML,Vehicle,"Lighting - Driveaway, side marker lamp(s) missing on front of towing vehicle.",7,7,0%,0,0%
1478,393.120ECDL,Vehicle,Metal Coils - Improper securement of coils in a sided vehicle without anchor points.,7,7,0%,7,0%
1479,398.4MW,Driver,Migrant Workers - Driving of vehicles transporting migrant workers in violation of this part.,7,7,0%,0,0%
1480,393.91SNS,Vehicle,"Motor Coach or other Passenger Carrying vehicle operating with seating, occupied or not, not secured in a workmanlike manner.",7,7,0%,5,0%
1481,392.11RRC,Driver,Railroad Crossing - Driver failed to stop/due care at a railroad grade crossing.,7,7,0%,0,0%
1482,393.207CSCSC,Vehicle,Suspension - Composite spring cracked beyond 75% of the length.,7,7,0%,7,0%
1483,393.128B2,Vehicle,Tiedown(s) not affixed to mounting points.,7,7,0%,5,0%
1484,393.205AWRSWC,Vehicle,Wheel/Rim - Spoke wheel has two or more cracks more than 1 inch.,7,7,0%,7,0%
1485,396.3A1AABRCCT,Vehicle,A sliding suspension memberÃ¢â‚¬â„¢s (undercarriage body rail) attachment welds are cracked completely through along a 4 foot (1.2 m) continuous length of the body rail. ,6,6,0%,5,0%
1486,395.15B2,Driver,Automatic on-board recording device failed to provide means to immediately check drivers hours of service as required.,6,6,0%,0,0%
1487,177.842D,HazMat,Blocking and bracing of RAM packages,6,6,0%,6,0%
1488,393.45B3,Vehicle,Brake hose or tubing contacting exhaust system,6,6,0%,2,0%
1489,393.114B1C,Vehicle,"Cargo - Front End Structure,  Inadequate height when in contact with cargo.",6,6,0%,0,0%
1490,396.3A1CDFWL6,Vehicle,"Coupling - Fifth wheel plate has a crack, or gap caused by corrosion.",6,6,0%,1,0%
1491,393.71KCDLSMF,Vehicle,Coupling - Lower saddlemount has ineffective/missing fasteners.,6,6,0%,4,0%
1492,393.70B1ICDPBM20,Vehicle,Coupling - Mounting plate or pivot bracket has more than 20% of the total original welds are cracked on either side of the vehicle. ,5,6,0%,6,0%
1493,396.3A1CDTHSW,Vehicle,"Coupling - Semi-Trailer, pintle hook has more than 20% wear in the horn section.",6,6,0%,6,0%
1494,393.70B1ICDSM,Vehicle,Coupling - Slide and slide base has more than 3/8 inch movement between components. ,6,6,0%,6,0%
1495,393.70B1IICDUCRW,Vehicle,Coupling - Upper coupler repair weld is cracked.,5,6,0%,3,0%
1496,178.34511B,HazMat,DOT406/407/412 tank valves,6,6,0%,3,0%
1497,395.28,Driver,Driver failed to select/deselect or annotate a special driving category or exempt status,6,6,0%,0,0%
1498,395.3B2NOM,Driver,Driving after 70 hours on duty in a 8 day period. (Property carrying vehicle) - Nominal Violation,6,6,0%,3,0%
1499,395.3B2HOSPRNP,Driver,Driving after 70 hours on duty in a 8 day period. (Property carrying vehicle) - Nominal Violation,5,6,0%,1,0%
1500,392.14,Driver,Failed to use caution for hazardous condition,6,6,0%,0,0%
1501,396.3A1FCLLS,Vehicle,"Fuel - CNG or LPG leak detected visibly, audibly or by smell - Verified by bubble test or more than 5,000 ppm. ",6,6,0%,6,0%
1502,393.67FF,Vehicle,Fuel - Tank not marked with proper certification.,6,6,0%,0,0%
1503,397.67DHMDPMC,HazMat,"HM (Driving & Parking) - Operating a motor vehicle without preparing a written route plan for Division 1.1, 1.2, or 1.3.",6,6,0%,0,0%
1504,172.604B1HMER,HazMat,"HM (Emergency Response) - Failing to have the ERI provider included by name, or contract number, or unique identifer on the shipping paper. ",6,6,0%,0,0%
1505,172.336CHMM,HazMat,HM (Markings) - Failing to display ID numbers according to provisions in table of 172.336(c),6,6,0%,2,0%
1506,172.336BHMM,HazMat,HM (Markings) - Failing to properly display ID number(s). ,6,6,0%,0,0%
1507,178.34514EHMP,HazMat,HM (Packaging) - DOT 406/407/412 variable specification cargo tank - spec plate marking requirements. ,6,6,0%,0,0%
1508,395.1HHOSAKPDIT,Driver,HOS (Alaska Property) - Driving more than 15 hours following 10 consecurive hours off duty at the time of inspeciton. Time:,6,6,0%,6,0%
1509,395.5B2HOSPVIDIT,Driver,HOS (Passenger) - Driving after being on duty more than 70 hours in the previous 8 consecutive days at the time of inspection. Time:,6,6,0%,5,0%
1510,395.5A2HOSPVID,Driver,HOS (Passenger) - Driving for any period after having been on duty 15 hours following 8 consecutive hours off duty during the previous 8 consecutive day period. Date and Time:,6,6,0%,1,0%
1511,393.67C8,Vehicle,Improper fuel tank safety vent,5,6,0%,0,0%
1512,393.17C1IIILDRRMST,Vehicle,"Lighting - Driveaway, reflex reflector(s) missing on towed mobile structure trailer.",6,6,0%,1,0%
1513,393.9BLHLOWR,Vehicle,Lighting - Headlamps - Both obscured when required to be on.,6,6,0%,1,0%
1514,178.3406,HazMat,MC306/307/312 supports and anchoring,6,6,0%,1,0%
1515,172.203D4,HazMat,No RAM label category,6,6,0%,0,0%
1516,383.23A2DT,Driver,Operating a CMV without a valid CDL: No double- or triple-trailer endorsement,6,6,0%,6,0%
1517,385.308D,Other,Operating in violation of FMCSA Operational Out of Service order for Failure to respond to Expedited Action Notification,6,6,0%,6,0%
1518,392.10A1RRC,Driver,Railroad Crossing - Driver failed to stop at a railroad grade crossing - Bus.,6,6,0%,0,0%
1519,171.2K,HazMat,Representing vehicle with Hazardous Materials with none present,6,6,0%,0,0%
1520,396.7ALT,Vehicle,Solid item lodged between dual tires,6,6,0%,6,0%
1521,392.2SLLSRGC,Driver,State/Local Laws - State railroad grade crossing violation.,6,6,0%,0,0%
1522,396.3A1WRWR,Vehicle,Wheel/Rim - Welded repair on aluminum wheel.,5,6,0%,6,0%
1523,393.91BTSNS,Vehicle,Buses - Equipped with temporary seating not secured to the vehicle in a workman-like manner.,5,5,0%,5,0%
1524,393.70B1ICDCGL6,Vehicle,"Coupling - A crack, or gap caused by corrosion.",5,5,0%,0,0%
1525,393.71HCDDDM,Vehicle,"Coupling - Driveaway, more than 1/4 inch movement between sub frame and drawbar.",5,5,0%,5,0%
1526,393.70CCDTDMF,Vehicle,"Coupling - Full Trailer, drawbar missing fasteners.",5,5,0%,3,0%
1527,393.70DCDTISD,Vehicle,"Coupling - Full Trailer, improper safety device.",5,5,0%,1,0%
1528,393.70CCDTMUFB,Vehicle,"Coupling - Turntable mounting, top flange has less than six effective bolts.",5,5,0%,4,0%
1529,396.3A1CDUCCG18,Vehicle,Coupling - Upper coupler has a crack or gap caused by corrosion that is 1/8 inch or more in width.,5,5,0%,5,0%
1530,172.504B,HazMat,Dangerous placard violation,5,5,0%,0,0%
1531,392.2DFYPD,Driver,Driver - Failing to yield to pedestrian/bicyclist.,5,5,0%,0,0%
1532,395.5A2HOSPVNP,Driver,Driving after 15 hour driving limit.  (Passenger carrying vehicle) - Nominal Violation,5,5,0%,0,0%
1533,173.25A,HazMat,Failed to meet overpack conditions,4,5,0%,0,0%
1534,172.602B2HMER,HazMat,HM (Emergency Response) - Emergency response information not available for use away from the package containing the hazardous material.,5,5,0%,0,0%
1535,173.33AHMGP,HazMat,HM (General Packaging) - Failing to comply with general cargo tank requirements. ,4,5,0%,0,0%
1536,173.301GHMGP,HazMat,HM (General Packaging) - Failing to meet manifolded cylinders in transportation as required. ,5,5,0%,0,0%
1537,173.25AHMGP,HazMat,HM (General Packaging) - Failure to meet overpack conditions. ,5,5,0%,0,0%
1538,172.401BHML,HazMat,HM (Labeling) - Displaying a marking that could be confused with a HM label. ,5,5,0%,0,0%
1539,172.407BHML,HazMat,HM (Labeling) - Failing to meet label design requirements.,3,5,0%,0,0%
1540,172.400A3HML,HazMat,"HM (Labeling) - Portable tank less than (1000 gallons) capacity, not labeled as required. ",5,5,0%,0,0%
1541,172.332BHMM,HazMat,HM (Markings) - Failing to display identification numbers on orange panel as required. ,5,5,0%,0,0%
1542,172.302CHMM,HazMat,"HM (Markings) - Failing to mark a bulk HM package with a special permit number preceded by ""DOT-SP"" as required. ",5,5,0%,0,0%
1543,172.326AHMM,HazMat,HM (Markings) - Failing to mark a portable tank with proper shipping name as required.,4,5,0%,0,0%
1544,172.328AHMM,HazMat,HM (Markings) - Failing to offer or affix ID numbers to cargo tank as required. ,5,5,0%,0,0%
1545,172.312A2HMMS,HazMat,HM (Markings) - Offering a non-bulk HM package containing liquids without orientation markings as required. ,5,5,0%,0,0%
1546,172.312BHMMS,HazMat,HM (Markings) - Offering a non-bulk HM package with improper use of orientation markings. ,5,5,0%,0,0%
1547,178.33717CHMP,HazMat,HM (Packaging) - MC 331 specification plate marking requirements. ,5,5,0%,0,0%
1548,178.33813HMP,HazMat,HM (Packaging) - MC 338 supports and anchoring requirements. ,5,5,0%,1,0%
1549,178.703,HazMat,HM (Packaging) - marking of IBC packaging requirements. ,5,5,0%,0,0%
1550,178.503HMP,HazMat,HM (Packaging) - marking of non-bulk packaging requirements. ,5,5,0%,0,0%
1551,172.516C7HMPMC,HazMat,"HM (Placarding) - Failure to affix a placard to a background of contrasting color, or have a dotted or solid line outer border which contrasts with the background color.",5,5,0%,0,0%
1552,172.519D4HMPMC,HazMat,HM (Placarding) - Placard color failing to extend to inner border.,4,5,0%,0,0%
1553,172.201CHMSPS,HazMat,HM (Shipping Papers) - Shipper HM shipping paper containing more than 1 page not properly numbered as required.,5,5,0%,0,0%
1554,172.203LHMSPS,HazMat,HM (Shipping Papers) - Shipper HM shipping paper does not list marine pollutant as required. ,5,5,0%,0,0%
1555,172.205EHMSPMC,HazMat,HM (Shipping Papers) -A copy of the manifest bearing all required dates and signatures as required.,5,5,0%,0,0%
1556,395.5B2HOSPVID,Driver,HOS (Passenger) - Driving after being on duty more than 70 hours in the previous 8 consecutive days. Date and Time:,5,5,0%,3,0%
1557,396.5AHNLIW,Vehicle,HUBS - No Visible Or Measurable Lubricant Showing In The HUB - Inner Wheel,5,5,0%,2,0%
1558,178.703A,HazMat,IBC manufacturer markings,5,5,0%,0,0%
1559,172.336B,HazMat,ID Numbers not properly displayed other than on placards,5,5,0%,1,0%
1560,393.102A1I,Vehicle,Insufficient means to prevent forward movement,5,5,0%,4,0%
1561,396.3A1AALPHW,Vehicle,More than 25% of the locking pin holes measure more than 1 inch (25.4 mm) larger than its original size. ,5,5,0%,5,0%
1562,391.41A1LOC,Driver,"No medical certificate in driver''s possession - vision, hearing, insulin using, epilepsy or any condition causing loss of consciousness",5,5,0%,4,0%
1563,393.62D,Vehicle,No or Defective Safety glass and/or push-out window,5,5,0%,2,0%
1564,172.328C,HazMat,"Not marked with ""QT"" or ""NQT"" on MC330 or MC331 cargo tank",4,5,0%,0,0%
1565,395.13D1DDOOS,Driver,OOS Order (HOS) - Driving after being declared out of service. ,5,5,0%,2,0%
1566,386.84A1,Other,Operating with suspended registration for non-payment of a civil penalty,5,5,0%,2,0%
1567,172.304A1,HazMat,"Package marking not durable, english or print",5,5,0%,0,0%
1568,172.516C7,HazMat,Placard not on contrasting background or border,5,5,0%,0,0%
1569,392.2RRUC,Driver,Railroad Crossing - The driver fails to negotiate a crossing because of insufficient undercarriage clearance.,5,5,0%,0,0%
1570,393.76CSB,Vehicle,Sleeper Berth - Inadequate exit.,5,5,0%,0,0%
1571,393.76DSB,Vehicle,Sleeper Berth - Not equipped with means of communication with driver. ,5,5,0%,0,0%
1572,396.3A1STDH,Vehicle,Steering - Drag link has non-manufactured hole. ,5,5,0%,4,0%
1573,393.93B3,Vehicle,Temporary Seating - Vehicle must conform to the requirements of Federal Motor Vehicle Safety Standard No. 2071 (º571.207),5,5,0%,4,0%
1574,396.3A1TFRPSW,Vehicle,"Tires - Front, Presence of rubber-coated cord or cured rubber plug in the sidewall.",5,5,0%,5,0%
1575,172.202C,HazMat,Total quantity missing or in improper location,5,5,0%,0,0%
1576,172.201A4,HazMat,Additional information not after Hazardous Materials basic description,4,4,0%,0,0%
1577,393.47ARM,Vehicle,Brake rotor or drum - piece missing or in danger of falling away,3,4,0%,4,0%
1578,393.28BECU,Vehicle,Buses - Electrical cable unsupported/hanging/missing clamps.,4,4,0%,3,0%
1579,392.6MC,Driver,Carrier - Motor carrier schedule a driver(s) to operate a CMV in excess of speed limits.,4,4,0%,0,0%
1580,396.3A1CDFW18,Vehicle,Coupling - Fifth wheel plate has a crack or gap caused by corrosion that is 1/8 inch or more in width.,4,4,0%,4,0%
1581,393.70CCDTDSM,Vehicle,"Coupling - Full Trailer, drawbar slider movement more than 1/4 inch.",4,4,0%,3,0%
1582,393.70B1ICDPPM38,Vehicle,Coupling - Pivot pin and bracket has more than 3/8 inch horizontal movement.,4,4,0%,4,0%
1583,396.3A1CDTDMF,Vehicle,"Coupling - Semi-Trailer, drawbar missing fasteners.",4,4,0%,3,0%
1584,396.3A1CDTDSIL,Vehicle,"Coupling - Semi-Trailer, drawbar slider ineffective latch.",4,4,0%,3,0%
1585,393.70CCDTMCLT20,Vehicle,"Coupling - Turntable mounting, cracked less than 20% of weld/parent metal.",4,4,0%,1,0%
1586,396.3A1CDUCCGL6,Vehicle,"Coupling - Upper coupler plate has a crack, or gap caused by corrosion.",4,4,0%,0,0%
1587,178.34514C,HazMat,DOT406/407/412 specification plate,4,4,0%,0,0%
1588,396.3A1CDST,Vehicle,Defective coupling devices for semi-trailer.,4,4,0%,4,0%
1589,396.3A1DLDSCC,Vehicle,Driveline/Driveshaft - Any center bearing bracket crack equaling 50% or more of the original bracket width.,4,4,0%,4,0%
1590,396.3A1DLDSDSCW,Vehicle,Driveline/Driveshaft - Obvious cracked weld at the shaft tube end. ,4,4,0%,4,0%
1591,392.5A1,Driver,Driver consuming an intoxicating beverage within 4 hours before operating a motor vehicle,4,4,0%,4,0%
1592,395.3B1HOSPRNP,Driver,Driving after 60 hours on duty in a 7-day period. (Property carrying vehicle) - Nominal Violation,2,4,0%,0,0%
1593,393.102C,Vehicle,Exceeding working load limit for tiedowns,4,4,0%,4,0%
1594,385.415A1,HazMat,Failing To Maintain Safety Permit On Vehicle,4,4,0%,0,0%
1595,393.50B,Vehicle,Failing to equip vehicle air brake system with adequate reserve capacity or reservoir,4,4,0%,0,0%
1596,393.50A,Vehicle,Failing to have sufficient air/vacuum reserve,4,4,0%,3,0%
1597,392.10A4,Driver,Failure to stop at railroad crossing - HM Cargo Tank vehicle,4,4,0%,0,0%
1598,393.70B1IIFWCM,Vehicle,Fifth wheel - any movement between components,4,4,0%,3,0%
1599,393.68CF,Vehicle,Fuel - Compressed Natural Gas (CNG) fuel container is not labeled.,4,4,0%,0,0%
1600,393.67C10F,Vehicle,Fuel - No fuel tank air vent.,4,4,0%,0,0%
1601,172.604AHMER,HazMat,HM (Emergency Response) - Failing to ensure the numeric specifications for the emergency response number are met. ,4,4,0%,0,0%
1602,172.604A2HMER,HazMat,HM (Emergency Response) - Failing to ensure the person answering the emergency response telephone number is either knowledgable of the hazardous material being shipped or has immediate access to a person who possesses such knowledge. ,4,4,0%,0,0%
1603,172.602A4HMER,HazMat,HM (Emergency Response) - Failing to have the immediate precautions to be taken in the event of an accident or incident on the emergency response information. ,4,4,0%,0,0%
1604,173.66HMGP,HazMat,HM (General Packaging) - Failing to comply with requirements for Explosive Bulk Trucks,1,4,0%,0,0%
1605,173.1BHMGPR,HazMat,HM (General Packaging) - Failing to prepare hazardous materials for shipment in accordance with this subchapter as required.,4,4,0%,0,0%
1606,173.32A2HMGP,HazMat,HM (General Packaging) - Filling or offering a portable tank for transportation when the periodic test have become expired. ,4,4,0%,0,0%
1607,177.839HMHC,HazMat,HM (Highway Carriage) - Improper transportation of Class 8 material.  ,4,4,0%,0,0%
1608,172.402BHML,HazMat,HM (Labeling) - Failing to display hazard class or division on label. ,4,4,0%,0,0%
1609,172.312A1HMMS,HazMat,HM (Markings) - Offering a non-bulk HM package containing liquids without closures upward as required.,4,4,0%,0,0%
1610,173.22A2HMNBSUP,HazMat,HM (Non-Bulk Packaging) - Shipper offered for transportation an unauthorized package.,4,4,0%,0,0%
1611,178.3451I2HMP,HazMat,HM (Packaging) - DOT 406/407/412 double bulkhead drain. ,4,4,0%,0,0%
1612,178.3415HMP,HazMat,HM (Packaging) - MC 306 requirements emergency flow control.,4,4,0%,0,0%
1613,178.34010HMP,HazMat,HM (Packaging) - MC 306/307/312 certification plate. ,4,4,0%,0,0%
1614,178.3379BHMP,HazMat,"HM (Packaging) - MC 331 general piping, valves, hose, and fitting requirements. ",3,4,0%,0,0%
1615,177.823AHMPMCNPL6,HazMat,HM (Placarding) - Any of the required placards for a hazard class are missing. CVSA Inspection Bulletin 2017-03 - Display of GHS Labels on Bulk Packages.,4,4,0%,0,0%
1616,172.519C2HMPMC,HazMat,HM (Placarding) - Failure to meet hazard class or division size requirements. ,4,4,0%,0,0%
1617,172.505AHMPS,HazMat,HM (Placarding) - Improper placarding for subsidiary placard for poison inhalation hazard (PIH) as required. ,4,4,0%,1,0%
1618,177.823AHMPIHMBPM,HazMat,HM (Poison Inhalation Hazard (PIH) Markings) - Required markings are missing on a bulk package.,4,4,0%,4,0%
1619,172.205AHMSPMC,HazMat,HM (Shipping Papers) - Motor carrier permit/require a driver to operate a motor vehicle with a hazardous waste manifest not as required.,2,4,0%,0,0%
1620,172.205BHMSPMC,HazMat,HM (Shipping Papers) - The shipper (generator) shall prepare the manifest in accordance with 40 CFR part 262.,4,4,0%,0,0%
1621,180.519HMTTCT,HazMat,HM (Testing) - Failing to comply with periodic retest and inspection of multi-unit tank car tanks.,3,4,0%,0,0%
1622,173.412HMGPS,HazMat,HM RAM (General Packaging) Failing to meet general design requirements for Type A package. ,4,4,0%,0,0%
1623,392.9AA1H,Other,Household Goods carrier operating without Operating Authority (49 USC 14901(d)(3)),4,4,0%,3,0%
1624,393.47ABCLMHESA,Vehicle,Hydraulic/Electric Brake - Cracked/loose/missing lining/pad on a steering axle.,4,4,0%,3,0%
1625,393.48ABLMCHESA,Vehicle,Hydraulic/Electric Brake - Loose or missing brake caliper mounting bolt on steering axle,4,4,0%,4,0%
1626,399.211,Vehicle,Inadequate maintenance of driver access,4,4,0%,0,0%
1627,396.1AIMC,Vehicle,Inspection - Failing to be knowledgeable and/or comply with the requirements of part 396.,4,4,0%,0,0%
1628,393.102A1III,Vehicle,Insufficient means to prevent lateral movement,4,4,0%,2,0%
1629,172.331,HazMat,Markings for other bulk packages,4,4,0%,1,0%
1630,172.403A,HazMat,No RAM label,3,4,0%,0,0%
1631,396.13C,Vehicle,No reviewing driver signature on DVIR,4,4,0%,0,0%
1632,393.17,Vehicle,No/defective lamp/reflector-towaway operation,4,4,0%,2,0%
1633,393.17A,Vehicle,No/defective lamps-towing unit-towaway operation,4,4,0%,3,0%
1634,391.49JCOMPLY,Driver,Operating a commercial motor vehicle without complying with the requirements indicated on the skill performance evaluation,4,4,0%,4,0%
1635,393.122DCPR,Vehicle,Paper Rolls - Improper securement of stacked loads of paper rolls transported with eyes vertical in a sided vehicle.,4,4,0%,4,0%
1636,172.326A,HazMat,Portable tank not marked with proper shipping name or ID#,4,4,0%,0,0%
1637,393.75E,Vehicle,Regrooved Tire on front of truck or truck-tractor,4,4,0%,1,0%
1638,178.3369A,HazMat,Safety relief devices MC330,4,4,0%,0,0%
1639,393.93A3,Vehicle,Seats not secured in conformance with FMVSS,4,4,0%,0,0%
1640,393.70B1ISC,Vehicle,"Slide curl broken, cracked or repaired by welding",3,4,0%,1,0%
1641,393.209DSTSCR,Vehicle,Steering - Steering column has universal joint with a repair weld.,4,4,0%,4,0%
1642,393.93BTS,Vehicle,Temporary Seating - Any vehicle that has a temporary seating for the driver.,4,4,0%,3,0%
1643,393.75,Vehicle,Tires/Tubes (General),4,4,0%,3,0%
1644,393.70B1IIFWURW,Vehicle,Upper coupler assembly repair weld cracked.,4,4,0%,3,0%
1645,390.403B2,Other,Using a lease or interchange agreement that fails to include the information required for both parties.,4,4,0%,0,0%
1646,393.47CBSALMADSA,Vehicle,Air Disc Brake - Slack adjuster length mismatched on a steering axle.,3,3,0%,3,0%
1647,396.3A1AALPHWL6,Vehicle,Any locking pin hole measures more than 1 inch (25.4 mm) larger than its original size. ,3,3,0%,0,0%
1648,393.50BB,Vehicle,Brake - Insufficient vacuum reserve to permit one full brake application after the engine is shut off.,3,3,0%,2,0%
1649,396.3A1MCF,Vehicle,Brakes - Hydraulic Fluid level in Master Cylinder low,3,3,0%,2,0%
1650,172.302B,HazMat,Bulk package marking incorrect size,3,3,0%,0,0%
1651,393.207D,Vehicle,Coil spring cracked and/or broken,3,3,0%,3,0%
1652,392.11,Driver,Commercial Vehicle failing to slow down approaching a railroad crossing.,3,3,0%,0,0%
1653,396.3A1CDFWRW,Vehicle,Coupling - Fifth wheel plate repair weld is cracked. ,3,3,0%,3,0%
1654,393.70CCDTDSIL,Vehicle,"Coupling - Full Trailer, drawbar slider ineffective latch.",3,3,0%,2,0%
1655,396.3A1CDKL,Vehicle,Coupling - Kingpin loose.,3,3,0%,3,0%
1656,393.70B1ICDPBG18,Vehicle,"Coupling - Mounting plate or pivot bracket has a crack, or gap caused by corrosion that is 1/8 inch or more in width.",3,3,0%,3,0%
1657,393.70B1ICDPBCLT20,Vehicle,Coupling - Mounting plate or pivot bracket is cracked 20% or less of the distance across the metal in the direction of the crack.,3,3,0%,0,0%
1658,172.203D8,HazMat,Export package or foreign made package not marked with IAEA Certificate,3,3,0%,0,0%
1659,172.406E,HazMat,Failed to display duplicate label as required,3,3,0%,0,0%
1660,171.2C,HazMat,Failing to comply with Hazardous Materials regulations when offering hazardous materials for transportation,3,3,0%,0,0%
1661,172.336C,HazMat,Failing to display ID numbers according to provisions in table of 172.336(c),3,3,0%,2,0%
1662,173.24B,HazMat,Failled to meet general package requirements,3,3,0%,1,0%
1663,172.201C,HazMat,Failure to list page number of pages,3,3,0%,0,0%
1664,397.5CHMDP,HazMat,"HM (Driving & Parking) - Motor vehicle containing HM other than Division 1.1, 1.2, or 1.3 left unattended on a public street/highway/shoulder.",3,3,0%,0,0%
1665,172.602A2HMER,HazMat,HM (Emergency Response) - Failing to have the immediate hazards to health on the emergency response information. ,3,3,0%,0,0%
1666,173.29AHMGP,HazMat,HM (General Packaging) - Improper transportation of an empty package.,3,3,0%,0,0%
1667,171.21A1,HazMat,HM (General Requirements) - Failing to make all records and information pertaining to the incident available to an authorized representative or special agent of the Department of Transportation upon request.,3,3,0%,0,0%
1668,172.400A5HML,HazMat,"HM (Labeling) - Overpack/freight container/unit load device, less than 640 cubic feet, not labeled as required. ",3,3,0%,0,0%
1669,172.331HMM,HazMat,HM (Markings) - Failing to affix ID numbers on other bulk package(s) as required.,3,3,0%,0,0%
1670,172.322E2HMM,HazMat,HM (Markings) - Failing to display the MARINE POLLUTANT mark square on point configuration or displaying improper size. ,3,3,0%,0,0%
1671,172.302BHMM,HazMat,HM (Markings) - Failing to mark a bulk HM package without proper size of markings as required.  ,3,3,0%,0,0%
1672,172.328EHMM,HazMat,"HM (Markings) - Failing to mark a cargo tank containing liquefied petroleum gas with ""NOT/NON-ODORIZED"" marking as required.",3,3,0%,0,0%
1673,172.301CHMMS,HazMat,"HM (Markings) - Offering a non-bulk HM package with no special permit number ""DOT-SP"" as required.",3,3,0%,0,0%
1674,172.334AHMM,HazMat,HM (Markings) - Prohibited display of ID number on Class 7/Class 1/Dangerous/subsidiary hazard placard.,3,3,0%,0,0%
1675,178.34511CHMP,HazMat,HM (Packaging) - DOT 406/407/412 requirements for additional stop valve.,3,3,0%,0,0%
1676,178.3457D4HMP,HazMat,HM (Packaging) - DOT 406/407/412 ring stiffener drain. ,3,3,0%,0,0%
1677,178.3458CHMP,HazMat,HM (Packaging) - DOT 406/407/412 rollover damage protection.,3,3,0%,0,0%
1678,178.34511B1IHMP,HazMat,HM (Packaging) - DOT 406/407/412 self-closing/remote closure. ,3,3,0%,0,0%
1679,178.34511B1IIIHMP,HazMat,HM (Packaging) - DOT 406/407/412 thermal and remote closure. ,3,3,0%,0,0%
1680,178.3411HMP,HazMat,HM (Packaging) - MC 306 general requirements. ,3,3,0%,0,0%
1681,178.33710BHMP,HazMat,HM (Packaging) - MC 331 protection device/housing not as required. ,3,3,0%,0,0%
1682,178.3371DHMP,HazMat,HM (Packaging) - MC 331 reflective design. ,3,3,0%,0,0%
1683,178.3378A4IIHMP,HazMat,HM (Packaging) - MC 331 remote closure device less than 3500 gallons. ,3,3,0%,0,0%
1684,177.823AHMPIHMNBPM,HazMat,HM (Poison Inhalation Hazard (PIH) Markings) - Required markings are missing on a non-bulk package.,3,3,0%,2,0%
1685,172.203H2HMSPS,HazMat,HM (Shipping Papers) - Shipper HM shipping paper does not list additional descriptions for liquefied petroleum gas as required. ,3,3,0%,0,0%
1686,172.201A2,HazMat,Hazardous Materials description not printed legibly in English,3,3,0%,0,0%
1687,393.77BHT,Vehicle,Heaters - Heater does not comply with specifications.,3,3,0%,0,0%
1688,393.48DBSIUHE,Vehicle,"Hydraulic/Electric Brake - Surge, improper use.",3,3,0%,1,0%
1689,178.703B,HazMat,IBC additional markings,3,3,0%,0,0%
1690,178.32CM,HazMat,IM101/102 load securement,3,3,0%,0,0%
1691,393.65B,Vehicle,Improper location of fuel system,3,3,0%,0,0%
1692,177.840,HazMat,Improper transportation of Class 2 hazardous materials,3,3,0%,3,0%
1693,393.136ECLB,Vehicle,Large Boulders - Improper securement of a non-cubic shaped boulderÃ¢â‚¬â€?with a stable base.,3,3,0%,3,0%
1694,393.136CCLB,Vehicle,Large Boulders - Improper use of tiedowns. ,3,3,0%,3,0%
